order_id,user_id,restaurant_id,partner_id,order_date,amount,payment_method,delivery_time_min,order_status
118,382,8,65,6/5/2023 21:00,241,UPI,39,Delivered
119,236,94,68,6/5/2023 22:00,596,Credit Card,27,Delivered
120,340,96,49,6/5/2023 23:00,258,Credit Card,20,Delivered
121,228,100,52,6/6/2023 0:00,466,Cash,45,Delivered
122,9,94,29,6/6/2023 1:00,1341,Credit Card,44,Delivered
123,166,65,21,6/6/2023 2:00,591,Credit Card,29,Delivered
124,432,43,78,6/6/2023 3:00,367,UPI,31,Delivered
125,444,39,9,6/6/2023 4:00,1395,Cash,26,Delivered
126,319,81,47,6/6/2023 5:00,822,Debit Card,31,Delivered
127,214,59,76,6/6/2023 6:00,427,UPI,59,Delivered
128,117,84,42,6/6/2023 7:00,1158,Debit Card,36,Delivered
129,386,88,51,6/6/2023 8:00,718,UPI,24,Delivered
130,344,86,56,6/6/2023 9:00,1159,Debit Card,33,Delivered
131,72,93,51,6/6/2023 10:00,1024,Debit Card,53,Delivered
132,395,86,70,6/6/2023 11:00,615,UPI,36,Delivered
133,64,44,20,6/6/2023 12:00,988,Debit Card,54,Delivered
134,205,9,27,6/6/2023 13:00,903,UPI,20,Delivered
135,209,37,38,6/6/2023 14:00,987,UPI,55,Delivered
136,72,74,72,6/6/2023 15:00,179,UPI,34,Cancelled
137,277,36,65,6/6/2023 16:00,508,Debit Card,38,Delivered
138,274,92,54,6/6/2023 17:00,1461,UPI,24,Delivered
139,478,28,24,6/6/2023 18:00,235,UPI,38,Delivered
140,320,42,47,6/6/2023 19:00,1407,Debit Card,58,Delivered
141,338,43,71,6/6/2023 20:00,896,UPI,24,Delivered
142,366,85,63,6/6/2023 21:00,462,UPI,31,Delivered
143,495,88,57,6/6/2023 22:00,514,UPI,38,Delivered
144,95,42,55,6/6/2023 23:00,1054,UPI,31,Cancelled
145,166,66,60,6/7/2023 0:00,1442,UPI,55,Delivered
146,32,55,62,6/7/2023 1:00,847,UPI,31,Delivered
147,11,72,30,6/7/2023 2:00,280,Cash,37,Cancelled
148,301,48,22,6/7/2023 3:00,952,Debit Card,53,Cancelled
149,217,91,75,6/7/2023 4:00,938,UPI,52,Delivered
150,289,22,29,6/7/2023 5:00,500,UPI,37,Delivered
151,102,27,41,6/7/2023 6:00,329,UPI,48,Delivered
152,425,93,42,6/7/2023 7:00,1336,Credit Card,24,Delivered
153,392,67,65,6/7/2023 8:00,1269,UPI,44,Delivered
154,267,13,31,6/7/2023 9:00,923,UPI,43,Delivered
155,214,45,30,6/7/2023 10:00,659,Debit Card,48,Delivered
156,179,10,18,6/7/2023 11:00,514,UPI,57,Delivered
157,88,100,17,6/7/2023 12:00,1130,UPI,52,Delivered
158,41,9,38,6/7/2023 13:00,502,Debit Card,29,Delivered
159,401,54,14,6/7/2023 14:00,949,Credit Card,56,Delivered
160,76,27,79,6/7/2023 15:00,1256,UPI,52,Delivered
161,377,34,56,6/7/2023 16:00,1398,Credit Card,42,Delivered
162,46,1,22,6/7/2023 17:00,561,UPI,30,Delivered
163,160,32,67,6/7/2023 18:00,884,Debit Card,43,Delivered
164,463,89,56,6/7/2023 19:00,1130,UPI,43,Delivered
165,80,93,19,6/7/2023 20:00,267,Debit Card,26,Delivered
166,310,71,57,6/7/2023 21:00,631,Cash,40,Delivered
167,86,67,44,6/7/2023 22:00,341,Cash,39,Delivered
168,92,84,35,6/7/2023 23:00,740,Cash,29,Delivered
169,148,20,1,6/8/2023 0:00,739,Credit Card,44,Delivered
170,161,94,52,6/8/2023 1:00,808,UPI,55,Delivered
171,202,35,70,6/8/2023 2:00,256,UPI,34,Delivered
172,424,99,37,6/8/2023 3:00,531,Credit Card,59,Delivered
173,416,91,65,6/8/2023 4:00,932,Debit Card,59,Delivered
174,242,90,51,6/8/2023 5:00,539,UPI,25,Delivered
175,353,78,1,6/8/2023 6:00,393,Cash,56,Delivered
176,2,17,21,6/8/2023 7:00,734,Debit Card,21,Delivered
177,225,18,53,6/8/2023 8:00,1018,Cash,31,Delivered
178,289,45,16,6/8/2023 9:00,617,Debit Card,23,Delivered
179,233,93,61,6/8/2023 10:00,1015,UPI,42,Delivered
180,461,84,54,6/8/2023 11:00,1083,UPI,32,Cancelled
181,414,53,40,6/8/2023 12:00,1383,UPI,36,Cancelled
182,417,91,26,6/8/2023 13:00,753,UPI,50,Delivered
183,77,82,80,6/8/2023 14:00,1164,Credit Card,35,Delivered
184,116,68,65,6/8/2023 15:00,1246,Debit Card,45,Delivered
185,154,65,74,6/8/2023 16:00,1482,Debit Card,47,Cancelled
186,406,1,64,6/8/2023 17:00,1009,Credit Card,20,Delivered
187,103,58,43,6/8/2023 18:00,1359,UPI,31,Delivered
188,194,26,17,6/8/2023 19:00,1426,UPI,56,Delivered
189,166,20,59,6/8/2023 20:00,162,UPI,39,Delivered
190,359,87,23,6/8/2023 21:00,448,UPI,21,Delivered
191,90,10,7,6/8/2023 22:00,1249,Credit Card,55,Delivered
192,174,59,44,6/8/2023 23:00,1224,UPI,34,Delivered
193,122,75,53,6/9/2023 0:00,936,UPI,57,Delivered
194,498,41,71,6/9/2023 1:00,298,UPI,41,Cancelled
195,143,5,79,6/9/2023 2:00,271,Credit Card,51,Delivered
196,482,65,34,6/9/2023 3:00,1384,UPI,39,Delivered
197,106,17,46,6/9/2023 4:00,1453,UPI,55,Delivered
198,375,22,68,6/9/2023 5:00,687,UPI,52,Delivered
199,428,98,78,6/9/2023 6:00,1329,Cash,34,Delivered
200,305,41,78,6/9/2023 7:00,1411,UPI,22,Delivered
201,360,93,16,6/9/2023 8:00,525,Credit Card,48,Delivered
202,459,68,71,6/9/2023 9:00,231,Debit Card,46,Delivered
203,317,69,19,6/9/2023 10:00,641,Credit Card,24,Delivered
204,451,11,2,6/9/2023 11:00,505,Cash,50,Returned
205,123,56,10,6/9/2023 12:00,1074,UPI,41,Delivered
206,390,51,50,6/9/2023 13:00,1446,UPI,54,Delivered
207,9,21,12,6/9/2023 14:00,1217,UPI,26,Delivered
208,262,99,70,6/9/2023 15:00,1154,Credit Card,25,Delivered
209,73,76,22,6/9/2023 16:00,272,UPI,45,Delivered
210,359,26,32,6/9/2023 17:00,857,UPI,20,Delivered
211,223,19,1,6/9/2023 18:00,479,Credit Card,38,Delivered
212,416,60,54,6/9/2023 19:00,1140,Credit Card,26,Delivered
213,41,71,58,6/9/2023 20:00,472,UPI,55,Delivered
214,370,47,70,6/9/2023 21:00,1284,Credit Card,31,Delivered
215,204,71,18,6/9/2023 22:00,919,Credit Card,39,Cancelled
216,264,26,6,6/9/2023 23:00,1262,UPI,42,Delivered
217,328,40,45,6/10/2023 0:00,582,UPI,44,Delivered
218,178,5,23,6/10/2023 1:00,859,Debit Card,49,Delivered
219,348,21,23,6/10/2023 2:00,943,Credit Card,48,Delivered
220,318,78,26,6/10/2023 3:00,861,UPI,50,Delivered
221,84,4,77,6/10/2023 4:00,1272,UPI,37,Cancelled
222,318,23,7,6/10/2023 5:00,688,Credit Card,38,Delivered
223,111,84,79,6/10/2023 6:00,750,Cash,23,Delivered
224,251,15,44,6/10/2023 7:00,1319,Credit Card,20,Delivered
225,383,93,27,6/10/2023 8:00,406,UPI,34,Delivered
226,7,8,26,6/10/2023 9:00,1362,UPI,27,Delivered
227,459,41,79,6/10/2023 10:00,1413,Debit Card,34,Delivered
228,84,19,36,6/10/2023 11:00,1020,UPI,34,Delivered
229,208,46,55,6/10/2023 12:00,1048,Cash,58,Returned
230,388,28,64,6/10/2023 13:00,958,Cash,41,Delivered
231,390,91,57,6/10/2023 14:00,826,UPI,37,Delivered
232,314,68,69,6/10/2023 15:00,420,Cash,35,Delivered
233,22,15,61,6/10/2023 16:00,699,UPI,21,Delivered
234,410,99,2,6/10/2023 17:00,1287,Debit Card,55,Delivered
235,383,37,55,6/10/2023 18:00,717,UPI,39,Delivered
236,3,1,80,6/10/2023 19:00,1135,UPI,35,Delivered
237,127,67,38,6/10/2023 20:00,508,Credit Card,22,Delivered
238,297,24,80,6/10/2023 21:00,1342,Debit Card,49,Delivered
239,188,27,78,6/10/2023 22:00,947,UPI,21,Delivered
240,362,40,29,6/10/2023 23:00,1434,Credit Card,54,Delivered
241,14,63,26,6/11/2023 0:00,1036,UPI,45,Returned
242,459,61,35,6/11/2023 1:00,1372,UPI,24,Delivered
243,466,36,79,6/11/2023 2:00,360,UPI,21,Delivered
244,12,98,67,6/11/2023 3:00,436,UPI,39,Delivered
245,87,93,29,6/11/2023 4:00,892,UPI,53,Delivered
246,12,24,34,6/11/2023 5:00,1196,UPI,53,Delivered
247,397,24,41,6/11/2023 6:00,1282,UPI,39,Delivered
248,25,4,41,6/11/2023 7:00,445,UPI,44,Cancelled
249,301,67,23,6/11/2023 8:00,155,UPI,39,Cancelled
250,243,34,71,6/11/2023 9:00,699,Cash,44,Delivered
251,122,57,3,6/11/2023 10:00,830,UPI,33,Delivered
252,147,49,58,6/11/2023 11:00,944,Cash,58,Delivered
253,55,87,32,6/11/2023 12:00,352,Debit Card,31,Delivered
254,238,53,31,6/11/2023 13:00,474,Credit Card,24,Delivered
255,356,23,43,6/11/2023 14:00,974,Credit Card,21,Delivered
256,173,69,7,6/11/2023 15:00,393,Debit Card,35,Delivered
257,392,95,1,6/11/2023 16:00,476,UPI,49,Delivered
258,221,53,61,6/11/2023 17:00,1136,Credit Card,57,Delivered
259,119,62,14,6/11/2023 18:00,1220,Credit Card,43,Delivered
260,309,41,52,6/11/2023 19:00,910,Credit Card,49,Delivered
261,183,57,6,6/11/2023 20:00,1186,Debit Card,56,Delivered
262,288,60,10,6/11/2023 21:00,1056,UPI,58,Delivered
263,307,54,71,6/11/2023 22:00,514,Credit Card,30,Delivered
264,300,70,30,6/11/2023 23:00,1394,Credit Card,33,Delivered
265,82,57,21,6/12/2023 0:00,222,UPI,42,Delivered
266,454,10,60,6/12/2023 1:00,1219,UPI,35,Delivered
267,402,40,74,6/12/2023 2:00,423,Credit Card,40,Delivered
268,211,7,63,6/12/2023 3:00,357,Debit Card,23,Delivered
269,150,38,42,6/12/2023 4:00,273,UPI,52,Delivered
270,37,85,51,6/12/2023 5:00,1183,Debit Card,33,Delivered
271,352,61,64,6/12/2023 6:00,1360,UPI,38,Returned
272,312,84,76,6/12/2023 7:00,692,UPI,24,Delivered
273,361,3,56,6/12/2023 8:00,209,UPI,55,Cancelled
274,59,51,80,6/12/2023 9:00,1048,UPI,50,Delivered
275,131,86,41,6/12/2023 10:00,1035,UPI,37,Delivered
276,412,47,32,6/12/2023 11:00,931,UPI,50,Delivered
277,202,68,15,6/12/2023 12:00,591,Debit Card,49,Delivered
278,243,92,62,6/12/2023 13:00,1390,Debit Card,40,Delivered
279,35,76,27,6/12/2023 14:00,1060,UPI,49,Delivered
280,445,38,28,6/12/2023 15:00,1175,UPI,23,Delivered
281,93,36,64,6/12/2023 16:00,981,UPI,24,Delivered
282,438,41,59,6/12/2023 17:00,1157,Credit Card,29,Delivered
283,447,69,58,6/12/2023 18:00,775,UPI,46,Delivered
284,207,13,2,6/12/2023 19:00,1338,UPI,35,Cancelled
285,353,87,36,6/12/2023 20:00,1147,Cash,49,Delivered
286,391,58,71,6/12/2023 21:00,883,Debit Card,32,Delivered
287,332,50,13,6/12/2023 22:00,240,UPI,55,Delivered
288,305,30,15,6/12/2023 23:00,316,UPI,40,Delivered
289,350,62,60,6/13/2023 0:00,1108,UPI,59,Delivered
290,213,25,22,6/13/2023 1:00,356,Debit Card,34,Cancelled
291,159,27,63,6/13/2023 2:00,1455,Credit Card,39,Delivered
292,442,51,75,6/13/2023 3:00,1238,UPI,39,Cancelled
293,445,78,74,6/13/2023 4:00,665,Debit Card,24,Delivered
294,24,57,25,6/13/2023 5:00,1330,UPI,51,Delivered
295,404,47,48,6/13/2023 6:00,896,UPI,25,Delivered
296,293,100,43,6/13/2023 7:00,455,UPI,49,Delivered
297,4,39,38,6/13/2023 8:00,544,UPI,45,Cancelled
298,220,16,41,6/13/2023 9:00,1247,UPI,56,Delivered
299,364,22,45,6/13/2023 10:00,336,UPI,32,Delivered
300,382,85,40,6/13/2023 11:00,772,UPI,48,Delivered
301,20,54,17,6/13/2023 12:00,879,UPI,24,Delivered
302,444,21,57,6/13/2023 13:00,389,Debit Card,44,Delivered
303,152,72,2,6/13/2023 14:00,682,UPI,32,Delivered
304,50,16,62,6/13/2023 15:00,290,UPI,43,Delivered
305,177,59,9,6/13/2023 16:00,1438,Credit Card,50,Delivered
306,435,31,68,6/13/2023 17:00,288,Debit Card,39,Delivered
307,96,42,17,6/13/2023 18:00,608,Debit Card,27,Delivered
308,105,74,50,6/13/2023 19:00,219,UPI,28,Delivered
309,420,32,40,6/13/2023 20:00,534,UPI,40,Cancelled
310,250,59,58,6/13/2023 21:00,779,Debit Card,39,Delivered
311,117,34,75,6/13/2023 22:00,347,Credit Card,34,Delivered
312,354,9,21,6/13/2023 23:00,354,UPI,45,Cancelled
313,228,81,18,6/14/2023 0:00,717,Cash,30,Delivered
314,66,11,55,6/14/2023 1:00,1131,UPI,56,Delivered
315,335,96,29,6/14/2023 2:00,954,Cash,30,Delivered
316,418,10,24,6/14/2023 3:00,1008,Debit Card,46,Delivered
317,420,86,74,6/14/2023 4:00,1031,Credit Card,49,Delivered
318,262,17,17,6/14/2023 5:00,1123,Cash,38,Delivered
319,295,68,18,6/14/2023 6:00,789,Debit Card,53,Delivered
320,426,48,42,6/14/2023 7:00,474,UPI,57,Delivered
321,243,52,45,6/14/2023 8:00,591,UPI,42,Delivered
322,371,25,17,6/14/2023 9:00,953,UPI,20,Delivered
323,186,21,73,6/14/2023 10:00,437,UPI,22,Delivered
324,246,65,14,6/14/2023 11:00,375,Debit Card,22,Delivered
325,125,63,49,6/14/2023 12:00,1237,UPI,47,Delivered
326,268,89,29,6/14/2023 13:00,1116,UPI,33,Delivered
327,131,51,4,6/14/2023 14:00,1087,Credit Card,49,Delivered
328,237,36,20,6/14/2023 15:00,709,Debit Card,24,Cancelled
329,18,81,47,6/14/2023 16:00,863,UPI,34,Cancelled
330,40,88,9,6/14/2023 17:00,647,UPI,57,Delivered
331,21,66,77,6/14/2023 18:00,998,UPI,33,Delivered
332,399,15,79,6/14/2023 19:00,1075,Credit Card,33,Delivered
333,225,96,27,6/14/2023 20:00,209,UPI,27,Cancelled
334,355,39,15,6/14/2023 21:00,406,Credit Card,27,Delivered
335,282,70,19,6/14/2023 22:00,726,UPI,38,Delivered
336,8,1,52,6/14/2023 23:00,388,UPI,51,Delivered
337,100,23,26,6/15/2023 0:00,187,Cash,50,Delivered
338,240,39,26,6/15/2023 1:00,174,UPI,48,Delivered
339,478,57,26,6/15/2023 2:00,559,UPI,30,Delivered
340,87,81,46,6/15/2023 3:00,610,UPI,32,Delivered
341,298,34,49,6/15/2023 4:00,1137,UPI,46,Delivered
342,428,41,53,6/15/2023 5:00,506,Credit Card,38,Delivered
343,14,93,3,6/15/2023 6:00,532,UPI,45,Delivered
344,334,73,66,6/15/2023 7:00,1331,UPI,56,Delivered
345,2,13,42,6/15/2023 8:00,718,UPI,28,Delivered
346,375,70,19,6/15/2023 9:00,1221,Credit Card,47,Delivered
347,293,6,17,6/15/2023 10:00,582,Debit Card,51,Delivered
348,325,84,33,6/15/2023 11:00,205,Credit Card,22,Delivered
349,422,52,76,6/15/2023 12:00,726,Credit Card,51,Delivered
350,493,3,49,6/15/2023 13:00,417,UPI,24,Delivered
351,41,81,56,6/15/2023 14:00,218,UPI,27,Delivered
352,318,63,63,6/15/2023 15:00,1051,UPI,33,Delivered
353,316,49,3,6/15/2023 16:00,942,UPI,22,Delivered
354,381,76,49,6/15/2023 17:00,406,UPI,43,Delivered
355,111,47,55,6/15/2023 18:00,821,Credit Card,32,Delivered
356,14,55,26,6/15/2023 19:00,639,Credit Card,48,Delivered
357,231,64,72,6/15/2023 20:00,895,Cash,27,Delivered
358,473,65,52,6/15/2023 21:00,198,UPI,50,Delivered
359,84,81,7,6/15/2023 22:00,465,Credit Card,45,Delivered
360,130,67,46,6/15/2023 23:00,562,Debit Card,37,Delivered
361,231,90,46,6/16/2023 0:00,583,Credit Card,37,Delivered
362,326,15,16,6/16/2023 1:00,1175,UPI,26,Delivered
363,145,100,24,6/16/2023 2:00,1318,UPI,57,Cancelled
364,379,32,61,6/16/2023 3:00,569,UPI,35,Cancelled
365,345,96,54,6/16/2023 4:00,993,UPI,52,Delivered
366,28,68,62,6/16/2023 5:00,1065,Debit Card,22,Delivered
367,66,18,1,6/16/2023 6:00,583,UPI,57,Delivered
368,163,83,49,6/16/2023 7:00,792,UPI,23,Delivered
369,229,43,25,6/16/2023 8:00,206,Debit Card,55,Delivered
370,261,35,10,6/16/2023 9:00,1113,Debit Card,23,Delivered
371,449,78,80,6/16/2023 10:00,1126,UPI,28,Cancelled
372,424,58,16,6/16/2023 11:00,1351,Credit Card,59,Delivered
373,460,33,58,6/16/2023 12:00,1466,UPI,36,Delivered
374,440,14,72,6/16/2023 13:00,195,UPI,36,Delivered
375,164,34,29,6/16/2023 14:00,1343,UPI,52,Delivered
376,301,61,6,6/16/2023 15:00,1444,Credit Card,39,Cancelled
377,407,4,16,6/16/2023 16:00,566,Cash,33,Delivered
378,303,88,20,6/16/2023 17:00,997,UPI,41,Delivered
379,287,59,80,6/16/2023 18:00,288,Credit Card,46,Delivered
380,395,29,71,6/16/2023 19:00,396,UPI,22,Delivered
381,10,83,78,6/16/2023 20:00,1321,Credit Card,43,Delivered
382,195,6,43,6/16/2023 21:00,379,UPI,49,Delivered
383,118,97,26,6/16/2023 22:00,941,UPI,27,Delivered
384,270,49,78,6/16/2023 23:00,786,Debit Card,41,Delivered
385,80,40,71,6/17/2023 0:00,523,Credit Card,44,Delivered
386,458,83,33,6/17/2023 1:00,1253,UPI,29,Delivered
387,93,65,26,6/17/2023 2:00,887,UPI,48,Cancelled
388,266,69,45,6/17/2023 3:00,1238,UPI,59,Delivered
389,332,27,63,6/17/2023 4:00,237,UPI,20,Delivered
390,350,80,67,6/17/2023 5:00,1261,Debit Card,40,Returned
391,361,6,52,6/17/2023 6:00,862,Cash,58,Cancelled
392,257,13,68,6/17/2023 7:00,1377,UPI,43,Delivered
393,133,64,26,6/17/2023 8:00,750,UPI,28,Delivered
394,276,62,75,6/17/2023 9:00,688,Debit Card,45,Delivered
395,264,99,2,6/17/2023 10:00,363,UPI,28,Delivered
396,171,19,14,6/17/2023 11:00,223,Credit Card,39,Delivered
397,460,76,30,6/17/2023 12:00,210,UPI,54,Delivered
398,1,80,49,6/17/2023 13:00,847,Debit Card,55,Delivered
399,313,43,12,6/17/2023 14:00,1392,Credit Card,55,Delivered
400,64,74,44,6/17/2023 15:00,161,Debit Card,28,Returned
401,374,89,33,6/17/2023 16:00,963,Debit Card,41,Delivered
402,468,20,13,6/17/2023 17:00,181,UPI,20,Delivered
403,284,95,78,6/17/2023 18:00,1333,Debit Card,24,Delivered
404,121,68,26,6/17/2023 19:00,1150,Debit Card,28,Returned
405,107,44,21,6/17/2023 20:00,386,UPI,56,Delivered
406,421,23,28,6/17/2023 21:00,1354,UPI,57,Delivered
407,175,2,48,6/17/2023 22:00,707,UPI,38,Cancelled
408,485,22,40,6/17/2023 23:00,1253,UPI,27,Delivered
409,204,57,66,6/18/2023 0:00,796,UPI,51,Delivered
410,165,72,73,6/18/2023 1:00,1136,Credit Card,32,Cancelled
411,305,7,79,6/18/2023 2:00,969,UPI,39,Returned
412,497,78,77,6/18/2023 3:00,622,Debit Card,55,Delivered
413,120,56,23,6/18/2023 4:00,261,UPI,56,Delivered
414,44,67,48,6/18/2023 5:00,1465,UPI,49,Delivered
415,312,16,2,6/18/2023 6:00,532,UPI,29,Delivered
416,156,83,20,6/18/2023 7:00,166,UPI,50,Delivered
417,367,51,59,6/18/2023 8:00,642,UPI,44,Delivered
418,207,82,46,6/18/2023 9:00,1075,UPI,48,Delivered
